symbol,sector,p,r1,s1,breaking_level,breaking_type,breakout_timestamp,status
ADANIENSOL,Power,923.6333333333332,943.2666666666664,905.6666666666664,-,-,-,-
UNIONBANK,Financial Services,127.52,130.48,125.59,-,-,-,-
BIOCON,Healthcare,318.7666666666667,324.5333333333334,315.0833333333334,-,-,-,-
HINDPETRO,Oil Gas & Consumable Fuels,387.40000000000003,397.80000000000007,381.80000000000007,-,-,-,-
MANKIND,Healthcare,2558.4666666666667,2596.9333333333334,2521.9333333333334,-,-,-,-
INFY,Information Technology,1479.0,1492.7,1468.4,-,-,-,-
JSWENERGY,Power,479.8,486.3,469.70000000000005,-,-,-,-
ICICIPRULI,Financial Services,599.9499999999999,609.6499999999999,592.8999999999999,-,-,-,-
VBL,Fast Moving Consumer Goods,531.2166666666667,542.4333333333334,521.9833333333333,-,-,-,-
OBEROIRLTY,Realty,1640.3666666666668,1679.4333333333336,1617.7333333333336,-,-,-,-
ASHOKLEY,Capital Goods,225.9766666666667,229.27333333333337,224.16333333333338,-,-,-,-
HUDCO,Financial Services,224.38333333333333,229.76666666666665,220.99666666666664,-,-,-,-
AUBANK,Financial Services,681.15,697.25,672.3,R1,Long,2025-04-29T09:50:00+05:30,Confirmed
BDL,Capital Goods,1464.3666666666668,1530.7333333333336,1420.1333333333337,R1,Long,2025-04-29T09:40:00+05:30,Confirmed
DIXON,Consumer Durables,16464.666666666668,16624.333333333336,16255.333333333336,-,-,-,-
OLAELEC,Automobile and Auto Components,49.43666666666667,50.46333333333334,48.52333333333333,-,-,-,-
BAJAJHFL,Financial Services,124.54666666666667,126.84333333333333,122.80333333333333,R1,Long,2025-04-29T09:40:00+05:30,Confirmed
IRFC,Financial Services,127.46666666666665,129.3033333333333,125.33333333333331,-,-,-,-
MFSL,Financial Services,1278.8666666666666,1299.1333333333332,1262.833333333333,-,-,-,-
ICICIGI,Financial Services,1854.1333333333332,1871.7666666666664,1832.5666666666664,-,-,-,-
MRF,Automobile and Auto Components,129698.33333333333,130901.66666666666,129021.66666666666,R2,Long,2025-04-29T09:40:00+05:30,Confirmed
MUTHOOTFIN,Financial Services,2109.066666666667,2162.333333333334,2080.133333333334,-,-,-,-
VEDL,Metals & Mining,414.2333333333333,419.5166666666666,410.8166666666666,-,-,-,-
BAJFINANCE,Financial Services,9072.833333333334,9145.166666666668,9020.666666666668,S1,Short,2025-04-29T09:45:00+05:30,Confirmed
TATASTEEL,Metals & Mining,141.01666666666668,143.65333333333336,139.43333333333337,-,-,-,-
