symbol,sector,close,high,low,p,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,opening_high,opening_low,breaking_level,breaking_type,timestamp,breakout_timestamp,status
SBILIFE,Financial Services,1619.3,1619.3,1619.3,1613.8333333333333,1626.6666666666665,1637.8333333333333,1650.6666666666665,1663.5,1676.333333333333,1602.6666666666665,1589.8333333333333,1578.6666666666665,1567.5,1556.333333333333,1623.2,1603.0,R1,Long,2025-04-24T11:50:00+05:30,2025-04-24T10:10:00+05:30,Confirmed
MAXHEALTH,Healthcare,1107.9,1107.9,1107.1,1129.8666666666666,1149.6333333333332,1169.6666666666667,1189.4333333333334,1209.1999999999998,1228.9666666666667,1109.833333333333,1090.0666666666664,1070.0333333333328,1049.999999999999,1029.9666666666658,1136.4,1097.7,-,-,2025-04-24T11:50:00+05:30,-,-
LTF,Financial Services,180.3,180.42,180.3,178.0233333333333,182.7166666666666,185.3933333333333,190.0866666666666,194.77999999999992,199.47333333333313,175.34666666666664,170.65333333333334,167.97666666666666,165.30000000000007,162.62333333333333,180.95,179.46,-,-,2025-04-24T11:50:00+05:30,-,-
IREDA,Financial Services,178.55,178.57,178.47,178.30999999999997,182.61999999999995,187.50999999999996,191.81999999999994,196.12999999999994,200.43999999999994,173.41999999999996,169.10999999999999,164.21999999999997,159.33000000000004,154.43999999999994,179.85,177.1,-,-,2025-04-24T11:50:00+05:30,-,-
ABCAPITAL,Financial Services,203.45,203.47,203.35,205.76,211.01999999999998,214.06,219.32,224.57999999999998,229.83999999999992,202.71999999999997,197.45999999999998,194.41999999999996,191.37999999999988,188.33999999999992,208.23,206.41,-,-,2025-04-24T11:50:00+05:30,-,-
ASIANPAINT,Consumer Durables,2460.8,2461.8,2460.1,2445.1,2464.6,2476.1,2495.6,2515.1000000000004,2534.6000000000004,2433.6,2414.1,2402.6,2391.1000000000004,2379.6000000000004,2458.8,2435.9,-,-,2025-04-24T11:50:00+05:30,-,-
PIIND,Chemicals,3644.2,3644.2,3643.2,3671.9,3713.8,3770.9,3812.8,3854.7000000000007,3896.6000000000004,3614.8,3572.9,3515.8,3458.7000000000007,3401.6000000000004,3657.5,3627.5,-,-,2025-04-24T11:50:00+05:30,-,-
APLAPOLLO,Capital Goods,1626.2,1626.7,1626.2,1622.8999999999999,1645.7999999999997,1667.8,1690.6999999999998,1713.6,1736.499999999999,1600.8999999999996,1577.9999999999998,1555.9999999999995,1533.999999999999,1511.999999999999,1640.0,1625.6,-,-,2025-04-24T11:50:00+05:30,-,-
HYUNDAI,Automobile and Auto Components,1721.7,1721.7,1721.4,1709.9333333333334,1737.8666666666668,1754.3333333333335,1782.2666666666669,1810.2000000000003,1838.1333333333332,1693.4666666666667,1665.5333333333333,1649.0666666666666,1632.5999999999995,1616.1333333333332,1730.3,1718.6,-,-,2025-04-24T11:50:00+05:30,-,-
BAJAJHLDNG,Financial Services,12431.0,12445.0,12431.0,12370.333333333334,12586.666666666668,12751.333333333334,12967.666666666668,13184.0,13400.333333333336,12205.666666666668,11989.333333333334,11824.666666666668,11660.0,11495.333333333336,12681.0,12514.0,-,-,2025-04-24T11:50:00+05:30,-,-
ADANIGREEN,Power,954.75,955.25,954.5,945.1333333333333,964.2666666666667,976.0333333333333,995.1666666666666,1014.3000000000002,1033.4333333333334,933.3666666666667,914.2333333333333,902.4666666666667,890.7000000000003,878.9333333333334,962.65,956.0,-,-,2025-04-24T11:50:00+05:30,-,-
TITAN,Consumer Durables,3369.5,3370.3,3369.5,3348.8333333333335,3382.166666666667,3407.0333333333333,3440.366666666667,3473.7,3507.0333333333347,3323.966666666667,3290.6333333333337,3265.7666666666673,3240.9000000000015,3216.0333333333347,3379.9,3344.0,-,-,2025-04-24T11:50:00+05:30,-,-
TATACOMM,Telecommunication,1604.1,1605.1,1603.5,1605.5999999999997,1634.0999999999995,1683.7999999999997,1712.2999999999995,1740.8000000000002,1769.2999999999993,1555.8999999999994,1527.3999999999996,1477.6999999999994,1427.9999999999995,1378.2999999999984,1597.9,1580.3,-,-,2025-04-24T11:50:00+05:30,-,-
BHEL,Capital Goods,229.1,229.1,229.02,228.65333333333334,233.20666666666668,235.88333333333335,240.4366666666667,244.99000000000012,249.5433333333334,225.97666666666666,221.42333333333332,218.74666666666664,216.07000000000005,213.39333333333332,230.84,228.6,-,-,2025-04-24T11:50:00+05:30,-,-
CONCOR,Services,709.25,709.25,709.05,709.7166666666667,720.2333333333333,727.0166666666667,737.5333333333333,748.0499999999997,758.5666666666666,702.9333333333334,692.4166666666667,685.6333333333334,678.8500000000001,672.0666666666666,715.5,707.65,-,-,2025-04-24T11:50:00+05:30,-,-
ICICIBANK,Financial Services,1406.7,1407.1,1406.5,1421.8666666666668,1432.4333333333336,1440.466666666667,1451.0333333333338,1461.6000000000008,1472.1666666666679,1413.8333333333335,1403.2666666666667,1395.2333333333333,1387.1999999999998,1379.166666666667,1421.2,1414.4,S1,Short,2025-04-24T11:50:00+05:30,2025-04-24T10:00:00+05:30,Confirmed
ETERNAL,Consumer Services,239.19,239.2,238.93,237.51333333333332,241.97666666666663,244.7133333333333,249.17666666666662,253.63999999999987,258.10333333333324,234.77666666666664,230.31333333333333,227.57666666666665,224.83999999999997,222.10333333333324,237.89,235.0,-,-,2025-04-24T11:50:00+05:30,-,-
BRITANNIA,Fast Moving Consumer Goods,5461.2,5462.0,5456.8,5499.866666666666,5593.433333333332,5642.566666666666,5736.133333333331,5829.699999999997,5923.266666666663,5450.733333333332,5357.166666666666,5308.033333333332,5258.899999999998,5209.766666666663,5550.5,5510.1,R1,Long,2025-04-24T11:50:00+05:30,2025-04-24T10:20:00+05:30,Confirmed
PAYTM,Financial Services,897.8,898.95,897.8,880.15,892.4499999999999,900.8,913.0999999999999,925.3999999999996,937.6999999999998,871.8,859.5,851.15,842.7999999999997,834.4499999999998,892.9,880.35,R1,Long,2025-04-24T11:50:00+05:30,2025-04-24T10:40:00+05:30,Confirmed
KPITTECH,Information Technology,1234.3,1235.0,1233.9,1215.8,1251.6999999999998,1274.4999999999998,1310.3999999999996,1346.2999999999993,1382.1999999999994,1193.0,1157.1000000000001,1134.3000000000002,1111.5,1088.7000000000003,1237.7,1220.0,-,-,2025-04-24T11:50:00+05:30,-,-
HAVELLS,Consumer Durables,1593.4,1593.5,1592.5,1611.8,1640.1999999999998,1668.3999999999999,1696.7999999999997,1725.199999999999,1753.5999999999995,1583.6,1555.2,1527.0,1498.7999999999997,1470.5999999999995,1622.9,1601.6,-,-,2025-04-24T11:50:00+05:30,-,-
LUPIN,Healthcare,2123.5,2124.9,2122.0,2075.8333333333335,2117.766666666667,2146.0333333333333,2187.9666666666667,2229.899999999999,2271.833333333334,2047.566666666667,2005.6333333333337,1977.3666666666672,1949.1000000000004,1920.833333333334,2102.9,2082.5,R1,Long,2025-04-24T11:50:00+05:30,2025-04-24T10:30:00+05:30,Confirmed
SUZLON,Capital Goods,61.18,61.2,61.12,59.43000000000001,60.73000000000001,61.470000000000006,62.77000000000001,64.07000000000001,65.37,58.69000000000001,57.39000000000001,56.65000000000001,55.910000000000025,55.170000000000016,61.37,60.01,-,-,2025-04-24T11:50:00+05:30,-,-
ABB,Capital Goods,5700.0,5700.0,5682.0,5704.666666666667,5800.333333333334,5887.666666666667,5983.333333333334,6079.0,6174.666666666668,5617.333333333334,5521.666666666667,5434.333333333334,5347.0,5259.666666666668,5733.0,5697.0,-,-,2025-04-24T11:50:00+05:30,-,-
SOLARINDS,Chemicals,13079.0,13084.0,13079.0,13042.333333333334,13196.666666666668,13309.333333333334,13463.666666666668,13618.0,13772.333333333336,12929.666666666668,12775.333333333334,12662.666666666668,12550.0,12437.333333333336,13287.0,13086.0,-,-,2025-04-24T11:50:00+05:30,-,-
GMRAIRPORT,Services,89.07,89.07,88.93,87.06,88.41000000000001,89.25000000000001,90.60000000000002,91.95000000000002,93.30000000000004,86.22,84.86999999999999,84.02999999999999,83.18999999999994,82.34999999999997,88.28,87.3,R1,Long,2025-04-24T11:50:00+05:30,2025-04-24T10:50:00+05:30,Confirmed
INDIANB,Financial Services,579.15,579.75,579.15,580.6999999999999,589.0999999999999,596.1,604.5,612.9000000000001,621.3,573.6999999999998,565.2999999999998,558.2999999999997,551.2999999999997,544.2999999999995,584.6,579.75,-,-,2025-04-24T11:50:00+05:30,-,-
DLF,Realty,683.15,683.15,683.15,687.6333333333332,695.9666666666665,704.2333333333332,712.5666666666665,720.8999999999996,729.2333333333331,679.3666666666664,671.0333333333332,662.7666666666664,654.4999999999998,646.2333333333327,689.55,685.15,-,-,2025-04-24T11:50:00+05:30,-,-
GODREJPROP,Realty,2152.0,2152.0,2150.3,2145.133333333333,2188.1666666666665,2223.9333333333334,2266.9666666666667,2310.0,2353.033333333333,2109.3666666666663,2066.333333333333,2030.5666666666662,1994.7999999999993,1959.0333333333328,2172.5,2151.2,-,-,2025-04-24T11:50:00+05:30,-,-
SJVN,Power,100.38,100.39,100.32,99.46,101.41999999999999,102.83,104.78999999999999,106.75,108.70999999999998,98.04999999999998,96.08999999999999,94.67999999999998,93.26999999999998,91.85999999999996,101.55,99.85,R1,Long,2025-04-24T11:50:00+05:30,2025-04-24T09:55:00+05:30,Confirmed
PNB,Financial Services,103.13,103.13,103.08,102.95666666666666,104.49333333333333,105.97666666666666,107.51333333333332,109.05000000000001,110.58666666666664,101.47333333333333,99.93666666666667,98.45333333333333,96.97000000000003,95.48666666666668,103.92,102.82,-,-,2025-04-24T11:50:00+05:30,-,-
INDIGO,Services,5517.5,5519.5,5516.5,5537.833333333333,5590.666666666666,5622.833333333333,5675.666666666666,5728.5,5781.333333333332,5505.666666666666,5452.833333333333,5420.666666666666,5388.5,5356.333333333332,5575.0,5485.5,S1,Short,2025-04-24T11:50:00+05:30,2025-04-24T09:35:00+05:30,Confirmed
UPL,Chemicals,678.55,679.2,678.4,674.65,687.25,694.6,707.2,719.8,732.4000000000001,667.3,654.6999999999999,647.3499999999999,639.9999999999998,632.6500000000001,682.4,678.0,-,-,2025-04-24T11:50:00+05:30,-,-
PFC,Financial Services,434.55,434.7,434.4,432.5333333333333,441.5666666666666,450.0333333333333,459.0666666666666,468.0999999999999,477.1333333333332,424.0666666666666,415.0333333333333,406.5666666666666,398.0999999999999,389.6333333333332,433.65,428.45,-,-,2025-04-24T11:50:00+05:30,-,-
